CODIGO;DESCRIPCION;PVP;PVD
01831.0-00;Ventilador con filtro FFS 018 Plano 120x125 mm. 230V. 60Hz.;267866;227277
01DL015W30TLK;Bala blanca de incrustar ajustable telescopica . 5W. 3.000?K.;182143;154545
01MZRN01CA-1W-BK;MINI BALA 1W 3?K CHASIS NEGRO;15815;13420
01YM259PS;Ojo de buey halogeno oval PS,YM259.;10538;8941
02.124.1029.0;Terminal hembra para 1.5 mm2 contacto in;2571;2185
02.215.4729.7;Contacto de engaste hembra.AWG 24-20;67622;57370
02003;Eje de traccion diam.19mm.Marca Alfra.Alemana;196437;166672
02006;Punzonadora hidraulica manual con juego de troqueles hasta PG42, Marca;4857143;4121218
037LUK011;Luminaria de Emergencia LED 65,5X250mm 2,4W AC 100-277V IP20.;50697;43017
037LUK013;Luminaria tipo bala de Emergencia. 3W.;141071;119697
038231;Marcador de clip calibre 12-10 #1;6479;5496
038232;Marcador de clip calibre 12-10 #2;6479;5496
038233;Marcador de clip calibre 12-10 #3;6479;5496
038234;Marcador de clip calibre 12-10 #4;6479;5496
038235;Marcador de clip calibre 12-10 #5;6479;5496
038236;Marcador de clip calibre 12-10 #6;6479;5496
038237;Marcador de clip calibre 12-10 #7;6479;5496
038238;Marcador de clip calibre 12-10 #8;6479;5496
038239;Marcador de clip calibre 12-10 #9;6479;5496
038365;Marcador de clip calibre 12-10 F;7445;6319
038377;Marcador de clip calibre 12-10 R;7445;6319
04-242-6053;Tiras de marcaci? x 10 blancas.;714;613
04.242.5053.0;Marquillas en tira, sin numeraci? ,para wk2.5/U.;723;613
04.841.1150.0;Tira marcacion sencilla;1571;1336
04.841.3550.0;Marquillas en tira letra N.;1437;1218
04.845.0153.0;Marquillas en tiras No.1-10 para WK2.5/;1571;1336
04.845.0253.0;Marquillas en tiras No.11-20 para WK2.5/;1571;1336
04.845.0353.0;Marquillas en tiras No.21-30 para WK2.5/;1571;1336
04.845.0453.0;Marquillas en tiras No.31-40 para WK2.5/;1437;1218
04.845.0553.0;Marquillas en tiraNo.41-50;1437;1218
04.845.0653.0;Marquillas en tira del 51-60.;1437;1218
04.845.0753.0;Marquillas en tira del 61-70.;1437;1218
04.845.0853.0;Marquillas en tira del 71-80.;1437;1218
04.845.0953.0;Marquillas en tira del 81-90.;1437;1218
04.845.1053.0;Marquillas en tira del 91-100.;1437;1218
04.845.1153.0;Marquillas en tira del 101-110.;1437;1218
04.845.1253.0;Marquillas en tira del 111-120.;1437;1218
04.845.1353.0;Marquillas en tira del 121 al 130.;1437;1218
04.845.1453.0;Marquillas en tira del 131-140.;1437;1218
04.846.0153.0;Marquillas en tira.No.1-10, para WK4, en cajitas de 25 tiras.;1571;1336
04.846.0253.0;Rotulo marcacion 11-20 Wieland;1571;1336
04.846.0353.00;Rotulo marcacion 21-30 Wieland;1571;1336
04.846.0453.0;Tira de marcaci? 31-40.;1571;1336
04100;Pelacable para AWG 8-4/0, 16 MM,incluye;44647;37882
04101;Pelacable para AWG.4-500 MCM.Marca Alfra;29471;25000
04230210WCA-10W-3K;Aplique exterior policarbonato integrado 10W. 3.000K, 120V. IP65.;64107;54394
04402GU10;Bala de piso GU10 mini.;65536;55606
0457788032;Chasis fluorescente 26W,32W.42W. redondo.blanco.;36613;31067
04690RS3WCA;Aplique de Exterior 3W. 3.000?K. IP54.85-265V. Color Negro.;89107;75606
04GAAC108;Suplemento conico para cable No.16.;504;429
05.544.1029.0;Terminal macho para 1.5 mm2, contacto in;2571;2185
05.544.4729.7;C?tacto de engaste macho AWG 24-20;1437;1218
05.583.0053.0;Pie universal para riel DIN. Marca Wiela;5714;4849
05.583.0153.0;Soporte caja WEB con pie universal para;10714;9092
0515012;Tornillo tapado Drywall 6x1.;60;51
05DL50001616BAL;Perfil Aluminio Esquinero de 15.5x15.5mm x 3m;102218;86731
06.502.4000.0;Destornillador con punta delgada. marca Wieland Alemana.;23218;19697
06000;Interruptor sencillo Block Vimar. 10A.;4101;3479
06000.0-00;Resistencia de calefaccion protegida CS 060 50W.;129471;109849
06000L.110;Interruptor sencillo con luz piloto Incluida. Block Vimar. 10A.;7605;6454
06001;Interruptor sencillo conmutable. Block Vimar. 10A.;4361;3697
06001L.110;Interruptor Sencillo con luz piloto incluida. Block. Vimar.;7748;6580
06002;Timbre o pulsador. Block Vimar.;4588;3891
06002L.110;Timbre o pulsador con luz piloto incluida. Block Vimar.;6403;5437
06004;Salida de Cable. Block Vimar.;1748;1479
06010.0-00;Resistencia calefactora CS060 Stego 100W.;196437;166672
06031;Toma de TV coaxial. Block. Vimar.;4462;3782
06032;Toma doble coaxial. Block. Vimar.;8134;6908
06035;Toma telefonico RJ11 4 hilos. Block Vimar.;14017;11899
06047;Zumbador 110V. 60Hz. Block. Vimar.;21697;18412
06050;Interruptor doble. Block Vimar. 10A.;6235;5294
06050L.110;Interruptor doble con luz piloto incluida. Block Vimar. 10A.;13319;11303
06051;Interruptor sencillo + conmutable. Block Vimar. 10A.;6857;5815
06052;Interruptor doble conmutable. Block Vimar. 10A.;7798;6622
06057;Dimmer para cargas resistivas de 30-500W. + Inter. Conmutable.;31252;26521
06064;Toma corriente doble con polo a tierra. 15A.;5899;5000
06070;Interruptor sencillo + Toma. Block Vimar.;5975;5076
